id,tip
6063973,"1,5-sobno"
6053946,soba
6062266,1-sobno
6068986,1-sobno
6066337,"1,5-sobno"
6070025,2-sobno
5464721,"2,5-sobno"
6054324,2-sobno
6053082,3-sobno
6068369,2-sobno
6054327,2-sobno
6069055,4-sobno
6018630,3-sobno
5953705,2-sobno
6059137,3-sobno
6059953,3-sobno
6066501,4-sobno
5952316,"3,5-sobno"
6054887,4-sobno
6057327,2-sobno
6063015,4-sobno
6039320,1-sobno
6048644,4-sobno
5932572,"1,5-sobno"
6069653,4-sobno
6023327,3-sobno
6069434,2-sobno
6043150,2-sobno
6067520,2-sobno
6042550,2-sobno
6004359,3-sobno
6052194,2-sobno
6016178,"2,5-sobno"
6069610,2-sobno
6069437,garsonjera
6062417,4-sobno
6035292,"1,5-sobno"
6059257,garsonjera
6038701,"2,5-sobno"
6025792,garsonjera
6064847,garsonjera
6048318,garsonjera
6041038,garsonjera
5795982,"2,5-sobno"
6069454,2-sobno
6043961,4-sobno
6068853,2-sobno
6064254,1-sobno
5924595,1-sobno
6016590,2-sobno
6054331,3-sobno
6054339,4-sobno
5796851,"2,5-sobno"
6054338,4-sobno
6043043,"2,5-sobno"
6047592,"4,5-sobno"
6064168,4-sobno
6062662,2-sobno
6069679,2-sobno
6057775,3-sobno
6070018,garsonjera
6068328,1-sobno
6064497,1-sobno
6069052,4-sobno
6069616,3-sobno
6068727,2-sobno
6064998,4-sobno
6059181,garsonjera
6016440,1-sobno
6055688,3-sobno
5921468,3-sobno
6010833,"2,5-sobno"
6059619,"2,5-sobno"
6067914,garsonjera
6058421,"2,5-sobno"
6066429,garsonjera
6063792,garsonjera
6062852,2-sobno
6064684,"2,5-sobno"
6050807,3-sobno
6053916,1-sobno
6065516,3-sobno
5788559,5 in večsobno
6069479,2-sobno
6048692,2-sobno
5634772,3-sobno
6063595,2-sobno
5417407,garsonjera
5598092,2-sobno
6069914,2-sobno
6062342,3-sobno
6067622,2-sobno
6068247,3-sobno
6066722,3-sobno
6069527,2-sobno
6069317,3-sobno
6046486,2-sobno
6067416,"2,5-sobno"
6063706,2-sobno
6063648,garsonjera
6050839,4-sobno
6056228,3-sobno
6050845,3-sobno
6050852,2-sobno
6050861,"1,5-sobno"
6033361,1-sobno
6050862,2-sobno
6050866,3-sobno
6069635,3-sobno
6027327,garsonjera
6067366,garsonjera
6065581,garsonjera
6068943,garsonjera
6060424,1-sobno
6059832,garsonjera
6069003,"1,5-sobno"
6042047,2-sobno
5789406,2-sobno
6049284,"2,5-sobno"
6065388,"3,5-sobno"
6062423,"3,5-sobno"
6069821,"4,5-sobno"
6055876,garsonjera
6063840,1-sobno
6066443,2-sobno
6041439,4-sobno
6035531,4-sobno
6055215,"2,5-sobno"
6064091,2-sobno
6019194,1-sobno
6045389,3-sobno
6050086,garsonjera
6065144,garsonjera
6069849,garsonjera
6063453,1-sobno
6059844,garsonjera
6015435,1-sobno
6059860,1-sobno
6067526,2-sobno
6069894,2-sobno
5961693,2-sobno
6057312,2-sobno
5788908,1-sobno
6069735,3-sobno
6058135,2-sobno
6057430,2-sobno
6057423,3-sobno
6057428,3-sobno
6057426,3-sobno
6044606,3-sobno
6057429,3-sobno
6057425,3-sobno
6057422,3-sobno
6067119,3-sobno
6064223,3-sobno
6056961,3-sobno
5989950,3-sobno
6031139,4-sobno
6057421,3-sobno
6057420,3-sobno
6069088,3-sobno
6059557,4-sobno
6059057,4-sobno
6035462,5 in večsobno
6064080,"3,5-sobno"
6048431,4-sobno
6024242,4-sobno
6062783,3-sobno
6066980,3-sobno
6069352,5 in večsobno
6067839,5 in večsobno
6057432,5 in večsobno
6045723,4-sobno
6067408,garsonjera
6069283,soba
6029756,garsonjera
6029758,2-sobno
6015434,4-sobno
6061151,2-sobno
6033485,garsonjera
6069867,"2,5-sobno"
6053866,3-sobno
5789802,2-sobno
6048968,"1,5-sobno"
6065487,3-sobno
6059554,garsonjera
6069321,3-sobno
6061354,2-sobno
6035237,garsonjera
6069604,1-sobno
6040759,1-sobno
6069606,1-sobno
6064432,2-sobno
6067369,2-sobno
6069600,garsonjera
6070007,2-sobno
6065119,3-sobno
6067942,1-sobno
6069319,garsonjera
6069029,2-sobno
5933331,3-sobno
6067378,3-sobno
6066221,3-sobno
5988490,"3,5-sobno"
6059139,3-sobno
6054606,3-sobno
6049610,1-sobno
5996041,4-sobno
5991810,garsonjera
6047550,"2,5-sobno"
6058696,"2,5-sobno"
6062171,2-sobno
5941263,garsonjera
6064861,3-sobno
5873055,3-sobno
6016416,3-sobno
6057851,4-sobno
6060775,3-sobno
6048442,garsonjera
6059094,2-sobno
6059601,"4,5-sobno"
6061197,"4,5-sobno"
6059857,3-sobno
6069741,4-sobno
6056877,2-sobno
6068978,4-sobno
6069733,5 in večsobno
6062208,5 in večsobno
6050835,4-sobno
6066397,garsonjera
6064134,garsonjera
6064639,2-sobno
6065663,3-sobno
6045933,3-sobno
6041363,4-sobno
6069843,2-sobno
6026150,3-sobno
6069063,"3,5-sobno"
6069062,"3,5-sobno"
5883962,garsonjera
6062412,"3,5-sobno"
6063944,4-sobno
6061088,"1,5-sobno"
6040213,5 in večsobno
5995936,2-sobno
6059161,1-sobno
6068512,2-sobno
6057348,3-sobno
6068101,3-sobno
6069521,3-sobno
6061220,4-sobno
6069850,3-sobno
6047710,3-sobno
6054304,garsonjera
6060744,"2,5-sobno"
6011278,"1,5-sobno"
6059540,4-sobno
6051706,3-sobno
5595091,garsonjera
6063195,2-sobno
6066620,4-sobno
6066542,4-sobno
6041658,5 in večsobno
6066645,5 in večsobno
5795497,"2,5-sobno"
6068995,2-sobno
6070063,3-sobno
6066364,2-sobno
6066528,5 in večsobno
6069851,"1,5-sobno"
6050588,4-sobno
6036151,3-sobno
6066358,2-sobno
6064685,2-sobno
6066420,2-sobno
6063671,2-sobno
6030502,2-sobno
6068478,2-sobno
6066852,2-sobno
6068276,3-sobno
6062862,"3,5-sobno"
6030022,5 in večsobno
6037585,2-sobno
6063740,garsonjera
6064237,2-sobno
6062363,4-sobno
6062562,"3,5-sobno"
6065505,2-sobno
6068719,garsonjera
5996409,3-sobno
5976853,"3,5-sobno"
6062560,"3,5-sobno"
6059368,2-sobno
6068362,"4,5-sobno"
6062537,"3,5-sobno"
6047326,2-sobno
5871776,samostojna
6012713,"3,5-sobno"
6068989,5 in večsobno
6064078,"2,5-sobno"
6067899,"3,5-sobno"
5941515,3-sobno
6063863,3-sobno
6067060,3-sobno
5941516,5 in večsobno
5936011,5 in večsobno
5872120,"1,5-sobno"
6054633,2-sobno
6058605,1-sobno
6061670,garsonjera
6011790,1-sobno
6021526,3-sobno
6001604,5 in večsobno
6066248,2-sobno
6060505,3-sobno
6069164,1-sobno
6068935,garsonjera
6049715,1-sobno
6066471,1-sobno
6066481,4-sobno
6067020,3-sobno
6052610,3-sobno
6068481,3-sobno
6066504,3-sobno
6069189,5 in večsobno
6059231,3-sobno
6068850,garsonjera
6064597,garsonjera
6044323,4-sobno
6056964,1-sobno
6058127,"1,5-sobno"
6058368,"1,5-sobno"
6062917,4-sobno
6062911,4-sobno
6063706,2-sobno
6063648,garsonjera
6050839,4-sobno
6056228,3-sobno
6050845,3-sobno
6050852,2-sobno
6050861,"1,5-sobno"
6033361,1-sobno
6050862,2-sobno
6050866,3-sobno
6069635,3-sobno
5788885,"2,5-sobno"
6063893,4-sobno
6054146,2-sobno
5990733,2-sobno
6027327,garsonjera
6067366,garsonjera
6065581,garsonjera
6068943,garsonjera
6060424,1-sobno
6059832,garsonjera
6069003,"1,5-sobno"
6042047,2-sobno
6049284,"2,5-sobno"
6065388,"3,5-sobno"
6062423,"3,5-sobno"
6069821,"4,5-sobno"
6055876,garsonjera
6063840,1-sobno
6069212,garsonjera
5982626,3-sobno
6068944,2-sobno
6022015,4-sobno
6045706,3-sobno
6066329,4-sobno
6066110,garsonjera
6068302,3-sobno
6063421,2-sobno
6033218,"2,5-sobno"
6069104,4-sobno
6063973,"1,5-sobno"
6066443,2-sobno
6041439,4-sobno
6035531,4-sobno
6055215,"2,5-sobno"
6064091,2-sobno
6019194,1-sobno
6045389,3-sobno
6053946,soba
6062266,1-sobno
6068986,1-sobno
6066337,"1,5-sobno"
5871776,samostojna
6070025,2-sobno
5464721,"2,5-sobno"
6054324,2-sobno
6053082,3-sobno
6068369,2-sobno
6054327,2-sobno
6069055,4-sobno
6018630,3-sobno
5953705,2-sobno
6059137,3-sobno
6059953,3-sobno
6066501,4-sobno
5952316,"3,5-sobno"
6054887,4-sobno
6057327,2-sobno
6063015,4-sobno
6039320,1-sobno
6048644,4-sobno
5932572,"1,5-sobno"
6069653,4-sobno
6023327,3-sobno
5787946,samostojna
6069434,2-sobno
6043150,2-sobno
6067520,2-sobno
6042550,2-sobno
6004359,3-sobno
6052194,2-sobno
6016178,"2,5-sobno"
6069610,2-sobno
6069437,garsonjera
6062417,4-sobno
6035292,"1,5-sobno"
6059257,garsonjera
6038701,"2,5-sobno"
6025792,garsonjera
6064847,garsonjera
6048318,garsonjera
6041038,garsonjera
6069454,2-sobno
6043961,4-sobno
6068853,2-sobno
6064254,1-sobno
5924595,1-sobno
6016590,2-sobno
6054331,3-sobno
6054339,4-sobno
6054338,4-sobno
6043043,"2,5-sobno"
6047592,"4,5-sobno"
6064168,4-sobno
6050086,garsonjera
6065144,garsonjera
6069849,garsonjera
5873055,3-sobno
6063453,1-sobno
6059844,garsonjera
6015435,1-sobno
6059860,1-sobno
6067526,2-sobno
6069894,2-sobno
5961693,2-sobno
6057312,2-sobno
6069735,3-sobno
6058135,2-sobno
6057430,2-sobno
6057423,3-sobno
6057428,3-sobno
6057426,3-sobno
6044606,3-sobno
6057429,3-sobno
6057425,3-sobno
6057422,3-sobno
6067119,3-sobno
6064223,3-sobno
6056961,3-sobno
5989950,3-sobno
6031139,4-sobno
6057421,3-sobno
5796851,"2,5-sobno"
6057420,3-sobno
6069088,3-sobno
6059557,4-sobno
6059057,4-sobno
6035462,5 in večsobno
6064080,"3,5-sobno"
6048431,4-sobno
6024242,4-sobno
6062783,3-sobno
6066980,3-sobno
6069352,5 in večsobno
6067839,5 in večsobno
6057432,5 in večsobno
6045723,4-sobno
6067408,garsonjera
6069283,soba
6029756,garsonjera
6029758,2-sobno
6015434,4-sobno
6061151,2-sobno
