id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
5793590,"DOL PRI LJUBLJANI, LEPA PARCELA - VINJE",Bezigrad,4,1978,60.2,152000.0,Prodaja,Stanovanje
6069918,LJ. BEŽIGRAD,Bezigrad,2,1965,62.9,168000.0,Prodaja,Stanovanje
6007781,LJ. BEŽIGRAD,Bezigrad,5,2014,64.0,217912.45,Prodaja,Stanovanje
6014817,LJ. BEŽIGRAD,Bezigrad,4,2014,64.88,218000.0,Prodaja,Stanovanje
6017515,LJ. BEŽIGRAD,Bezigrad,4,2014,64.94,217800.0,Prodaja,Stanovanje
6066876,LJ. BEŽIGRAD,Bezigrad,5,2014,64.99,217912.45,Prodaja,Stanovanje
6007790,LJ. BEŽIGRAD,Bezigrad,5,2014,65.0,218040.56,Prodaja,Stanovanje
6066873,LJ. BEŽIGRAD,Bezigrad,4,2014,65.24,218446.26,Prodaja,Stanovanje
6007780,LJ. BEŽIGRAD,Bezigrad,3,2014,66.0,216939.35,Prodaja,Stanovanje
6015796,LJ. BEŽIGRAD,Bezigrad,4,2014,66.65,243000.0,Prodaja,Stanovanje
5965178,LJ. BEŽIGRAD,Bezigrad,7,2014,71.49,290220.26,Prodaja,Stanovanje
6067576,LJ. BEŽIGRAD,Bezigrad,15,1981,72.8,150000.0,Prodaja,Stanovanje
5641420,LJ. BEŽIGRAD,Bezigrad,1,1954,78.16,146000.0,Prodaja,Stanovanje
5991466,LJ. BEŽIGRAD,Bezigrad,2,2014,78.99,249000.0,Prodaja,Stanovanje
6007777,LJ. BEŽIGRAD,Bezigrad,4,2014,79.0,270928.24,Prodaja,Stanovanje
6015812,LJ. BEŽIGRAD,Bezigrad,1,2014,79.74,251000.0,Prodaja,Stanovanje
5865944,LJ. BEŽIGRAD,Bezigrad,1,2014,79.74,250819.77,Prodaja,Stanovanje
6066890,LJ. BEŽIGRAD,Bezigrad,8,2014,82.39,319590.67,Prodaja,Stanovanje
6066896,LJ. BEŽIGRAD,Bezigrad,9,2014,82.68,338848.0,Prodaja,Stanovanje
5887643,LJ. BEŽIGRAD,Bezigrad,7,2014,82.91,306368.41,Prodaja,Stanovanje
6016833,LJ. BEŽIGRAD,Bezigrad,1,2014,84.27,243000.0,Prodaja,Stanovanje
6066891,LJ. BEŽIGRAD,Bezigrad,8,2014,84.56,329347.97,Prodaja,Stanovanje
5946883,LJ. BEŽIGRAD,Bezigrad,2,2009,84.9,439000.0,Prodaja,Stanovanje
6066915,LJ. BEŽIGRAD,Bezigrad,6,2014,85.13,288235.7,Prodaja,Stanovanje
6015805,LJ. BEŽIGRAD,Bezigrad,9,2014,85.54,332000.0,Prodaja,Stanovanje
5887140,LJ. BEŽIGRAD,Bezigrad,4,2014,89.13,275670.9,Prodaja,Stanovanje
5893829,LJ. BEŽIGRAD,Bezigrad,8,2014,90.36,351891.87,Prodaja,Stanovanje
6066899,LJ. BEŽIGRAD,Bezigrad,9,2014,90.43,368534.98,Prodaja,Stanovanje
6052322,LJ. BEŽIGRAD,Bezigrad,2,1939,92.26,195000.0,Prodaja,Stanovanje
6064055,LJ. BEŽIGRAD,Bezigrad,2,1996,93.5,349000.0,Prodaja,Stanovanje
