id,ime,podrocje,nadstropje,leto,velikost,cena
6071133,"LJ. ŠIŠKA, SPODNJA",Siska,20,2005,68.0,269000.0
6075557,"LJ. ŠIŠKA, SPODNJA, FRANKOPANSKA UL.",Siska,2,1889,72.0,175000.0
6045933,"LJ. ŠIŠKA, SPODNJA, MILČINSKEGA ULICA",Siska,2,2002,132.3,329000.0
6041363,"LJ. ŠIŠKA, SREDNJE GAMELJNE",Siska,1,2004,126.0,350000.0
6069843,"LJ. ŠIŠKA, ŠENTVID",Siska,2,2009,39.0,72500.0
6026150,"LJ. ŠIŠKA, ŠENTVID",Siska,3,1932,75.0,119000.0
6062412,"LJ. ŠIŠKA, ŠENTVID",Siska,3,1984,94.1,215000.0
6063944,"LJ. ŠIŠKA, ŠENTVID",Siska,3,1986,95.0,214000.0
6061088,"LJ. ŠIŠKA, ŠENTVID, PRUŠNIKOVA, OBNOVLJENO",Siska,1,2016,38.1,88000.0
6074628,"LJ. ŠIŠKA, ŠENTVID, ZVEZDA",Siska,3,1984,90.0,215000.0
6040213,"LJ. ŠIŠKA, ŠMARTNO POD ŠMARNO GORO, PRELOGE",Siska,3,1995,110.0,250000.0
5995936,"LJ. ŠIŠKA, TACEN",Siska,1,1920,55.3,72000.0
6059161,"LJ. ŠIŠKA, TERASA",Siska,1,2006,40.0,115000.0
6073428,"LJ. ŠIŠKA, TRG KOMANDANTA STANETA",Siska,5,1970,35.8,89000.0
6074452,"LJ. ŠIŠKA, TRG PREKOMORSKIH BRIGAD",Siska,VP,1961,48.5,127000.0
6057348,"LJ. ŠIŠKA, UL. ANE ZIHERLOVE",Siska,1,1970,69.9,185000.0
6074647,"LJ. ŠIŠKA, VIKRČE",Siska,2,2009,112.0,227000.0
6069521,"LJ. ŠIŠKA, VILA BLOK, GARAŽA",Siska,2,1993,67.0,195000.0
6061220,"LJ. ŠIŠKA, VILA V BLIŽINI NARAVE ROŽNIKA",Siska,2,2010,103.77,185000.0
6075590,"LJ. ŠIŠKA, VIŽMARJE",Siska,2,2009,33.1,68000.0
6069850,"LJ. ŠIŠKA, VIŽMARJE",Siska,PK,2009,76.3,110000.0
6047710,"LJ. ŠIŠKA, VIŽMARJE",Siska,P,2006,82.8,212000.0
5789406,"KOPER, SEMEDELA, ULICA 2. PREKOM. BRIGA",Siska,P,2007,25.0,78900.0
6011278,"LJ. ŠIŠKA, ZGORNJA",Siska,P,1960,41.3,98500.0
6071528,"LJ. ŠIŠKA, ZGORNJA",Siska,3,1973,48.03,148000.0
6059540,"LJ. ŠIŠKA, ZGORNJA",Siska,3,1995,96.0,215000.0
6051706,"LJ. ŠIŠKA, ZGORNJA",Siska,2,1953,103.75,229000.0
