id,ime,podrocje,nadstropje,leto,velikost,cena
6025792,"LJ. MOSTE, ŠTEP. NASELJE, JAKČEVA ULICA",Vic-Rudnik,7,1978,28.8,79000.0
6064847,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Vic-Rudnik,2,1977,21.1,68000.0
6048318,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Vic-Rudnik,12,1978,27.0,77000.0
6041038,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Vic-Rudnik,12,1978,27.0,77000.0
6075452,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Vic-Rudnik,4,1975,63.9,128900.0
6074454,"LJ. MOSTE, ŠTEPANJSKO NASELJE",Vic-Rudnik,10,1978,64.8,155000.0
6068853,"LJ. MOSTE, VEVČE",Vic-Rudnik,PK,2000,53.0,131000.0
6064254,"LJ. MOSTE, ZADOBROVA",Vic-Rudnik,1,2009,30.5,70000.0
5924595,"LJ. MOSTE, ZALOG",Vic-Rudnik,P,2008,40.0,79900.0
6016590,"LJ. MOSTE, ZALOG",Vic-Rudnik,1,2007,53.3,94000.0
6054331,"LJ. MOSTE, ZALOG",Vic-Rudnik,2,1960,82.2,160000.0
6054339,"LJ. MOSTE, ZALOG",Vic-Rudnik,2,1960,99.5,190000.0
6054338,"LJ. MOSTE, ZALOG",Vic-Rudnik,1,1960,108.3,200000.0
6042347,"LJ. MOSTE, ZALOSKA CESTA",Vic-Rudnik,1,1961,24.0,59990.0
6043043,"LJ. MOSTE, ZALOŠKA CESTA",Vic-Rudnik,3,1912,50.0,90000.0
5796514,"CELJE, TEHARJE",Vic-Rudnik,1,2009,138.3,585000.0
6064168,"LJ. MOSTE, ZELENA JAMA, NASELJE ATRIUM",Vic-Rudnik,4,2010,169.53,344645.2
6050086,LJ. ŠIŠKA,Vic-Rudnik,PK,1933,20.5,42000.0
6069849,LJ. ŠIŠKA,Vic-Rudnik,2,2009,34.7,55000.0
6076096,LJ. ŠIŠKA,Vic-Rudnik,5,1967,37.6,105000.0
6075146,LJ. ŠIŠKA,Vic-Rudnik,7,2009,37.9,68500.0
6059844,LJ. ŠIŠKA,Vic-Rudnik,1,2006,38.0,110000.0
6015435,LJ. ŠIŠKA,Vic-Rudnik,1,1931,40.0,82000.0
6059860,LJ. ŠIŠKA,Vic-Rudnik,VP,1940,44.4,110000.0
5796514,"CELJE, TEHARJE",Vic-Rudnik,6,2009,45.2,125900.0
